,ID,poem_author,language,original_poem,light_clean_poem,theme,keywords,keywords_ori,keywords_eng
330,354,Serhii Zhadan,Ukrainian,"З майбутньої книги віршів і перекладів.

Райнер Марія Рільке

Благовіщення

Не янгола поява (зрозумій),
її злякала. Міг так само їй
явитись промінь сонця чи вночі
зустрітись місячне проміння, пливучи,
й сполохати, - обурив її все ж
той лик, в якому янгол їй явився,
заледве знала, що йому це теж
надміру тяжко (кожен би вклонився –
яка вона пречиста. Аж така,
що олениця в пралісі густому,
поглянула на неї і, повір,
єдинорога зачала потому,
що звір зі світла, найчистіший звір.)
Й тому, що ява ця була тривка,
що янгол із обличчям юнака
тут поруч був, що поглядами враз
вони поміж собою зіштовхнулись,
все спорожніло вмить, і водночас
те, що мільйони знали, з чим зіткнулись,
до неї переходило від нас;
вона і він; все, бачене тобою,
все мало тільки там свою вагу,
і страх також. Налякані обоє.

Тоді він заспівав їй вість благу.

#zhadan #жадан #життямарії See less","З майбутньої книги віршів і перекладів.  Райнер Марія Рільке  Благовіщення  Не янгола поява , її злякала. Міг так само їй явитись промінь сонця чи вночі зустрітись місячне проміння, пливучи, й сполохати, - обурив її все ж той лик, в якому янгол їй явився, заледве знала, що йому це теж надміру тяжко (кожен би вклонився – яка вона пречиста. Аж така, що олениця в пралісі густому, поглянула на неї і, повір, єдинорога зачала потому, що звір зі світла, найчистіший звір.) Й тому, що ява ця була тривка, що янгол із обличчям юнака тут поруч був, що поглядами враз вони поміж собою зіштовхнулись, все спорожніло вмить, і водночас те, що мільйони знали, з чим зіткнулись, до неї переходило від нас; вона і він; все, бачене тобою, все мало тільки там свою вагу, і страх також. Налякані обоє.  Тоді він заспівав їй вість благу.     ","{'religion', 'rilke', 'annunciation', 'literature', 'christianity'}","[('зустрітись', 0.4321), ('спорожніло', 0.4164), ('благовіщення', 0.3661), ('зіткнулись', 0.3518), ('зіштовхнулись', 0.3455)]","['зустрітись', 'спорожніло', 'благовіщення', 'зіткнулись', 'зіштовхнулись']","['to meet', 'emptied', 'Annunciation', 'encountered', 'collided']"
333,358,Serhii Zhadan,Ukrainian,"Тягне віолончеліст
свій дерев’яний інструмент,
зупиняється,
переводить подих,
ледве тримається в повітрі,
ледве волочить ноги
кам’яною вулицею.
Аж ось як кричать йому
просто в очі,
ось як люто супроводжують,
насідають зусібіч,
сиплють прокляття.
Сходяться чоловіки,
похмуро мовчать жінки,
діти кидають золоті
цитрини
бруківки.
Стільки прикрих слів
він і не чув у своєму житті.
Ніби він винен,
що має тягнути цю
бісову музику,
ніби винен, що
не може кинути її
серед вулиці.
Але кому що доведеш,
кому поясниш?
Розривають повітря крики,
розламує лемент.
Скоро проступить кров,
скоро проллються сльози.
Супляться чоловіки,
галасують жінки,
діти запам’ятають це небо
до кінця своїх
довгих днів.
А вже коли вибираються
за місто, зупиняються
на пагорбі, він ставить
інструмент на землю,
дістає смичок,
припадає до лакованого дерева,
висить на ньому,
не маючи сил відірватись,
і рухи в нього такі важкі,
і на пробитих долонях
запікається кров.
Тоді
плачуть чоловіки,
в’януть серця жінок,
і в дітей
у стиснутих кулаках
ростуть перлини
музичного слуху.
#zhadan #жадан","Тягне віолончеліст свій дерев’яний інструмент, зупиняється, переводить подих, ледве тримається в повітрі, ледве волочить ноги кам’яною вулицею. Аж ось як кричать йому просто в очі, ось як люто супроводжують, насідають зусібіч, сиплють прокляття. Сходяться чоловіки, похмуро мовчать жінки, діти кидають золоті цитрини бруківки. Стільки прикрих слів він і не чув у своєму житті. Ніби він винен, що має тягнути цю бісову музику, ніби винен, що не може кинути її серед вулиці. Але кому що доведеш, кому поясниш? Розривають повітря крики, розламує лемент. Скоро проступить кров, скоро проллються сльози. Супляться чоловіки, галасують жінки, діти запам’ятають це небо до кінця своїх довгих днів. А вже коли вибираються за місто, зупиняються на пагорбі, він ставить інструмент на землю, дістає смичок, припадає до лакованого дерева, висить на ньому, не маючи сил відірватись, і рухи в нього такі важкі, і на пробитих долонях запікається кров. Тоді плачуть чоловіки, в’януть серця жінок, і в дітей у стиснутих кулаках ростуть перлини музичного слуху.  ","{'music', 'sadness', 'tears', 'sorrow', 'cello'}","[('бруківки', 0.2824), ('зусібіч', 0.2799), ('прокляття', 0.2756), ('зупиняються', 0.2467), ('віолончеліст', 0.2451)]","['бруківки', 'зусібіч', 'прокляття', 'зупиняються', 'віолончеліст']","['paving stones', 'zusibich', 'curse', 'are stopping', 'cellist']"
353,381,Luba Iakymchuk,Ukrainian,"""розкладання"" ви вже читали, а цей вірш, логічне його продовження, написаний того ж дня. 
збирання
але зійде вода 
і проклюнеться шурфами шахт
як химерна рослина руката
і вода як любов
все поглине ковтком —
щоб уламки в одне зібрати
і народить там море
нове і живе
і народить нових
проте не людей
і вони попливуть як рибини
там, де люди уже не потрібні
22 серпня 2014
#розкладання","""розкладання"" ви вже читали, а цей вірш, логічне його продовження, написаний того ж дня.  збирання але зійде вода  і проклюнеться шурфами шахт як химерна рослина руката і вода як любов все поглине ковтком — щоб уламки в одне зібрати і народить там море нове і живе і народить нових проте не людей і вони попливуть як рибини там, де люди уже не потрібні 22 серпня 2014 ","{'rebirth', 'decay', 'death', 'religion'}","[('проклюнеться', 0.4099), ('логічне', 0.2519), ('вірш', 0.2388), ('розкладання', 0.2366), ('поглине', 0.212)]","['проклюнеться', 'логічне', 'вірш', 'розкладання', 'поглине']","['hatch', 'logical', 'verse', 'decomposition', 'will absorb']"
354,382,Luba Iakymchuk,Ukrainian,"вдих-вибух
вдих-вибух
смикаюся від голосних звуків 
як від приголосних
смикаюся від тихих
і від дихання
мене пересмикує як осику
як осу кинуту в осінь
де чекає мій біль
моя біла загибель
без вибуху 
і без вдиху
22 серпня 2014
#розкладання",вдих-вибух вдих-вибух смикаюся від голосних звуків  як від приголосних смикаюся від тихих і від дихання мене пересмикує як осику як осу кинуту в осінь де чекає мій біль моя біла загибель без вибуху  і без вдиху 22 серпня 2014 ,"{'body', 'animals', 'wasp', 'death', 'breath'}","[('пересмикує', 0.4427), ('смикаюся', 0.327), ('приголосних', 0.2685), ('вибуху', 0.1887), ('вибух', 0.1627)]","['пересмикує', 'смикаюся', 'приголосних', 'вибуху', 'вибух']","['persmikuє', 'twitching', 'consonants', 'explosion', 'explosion']"
365,395,Dénes Krusovszky,Ukrainian,"А ось вам ще й з угорської - та-дам! (З Dénes Krusovszky)
ДІВЧИНКА
Коли зникли жінки
й неспокійне пагіння їхніх дітей, 
що вистромлювалися
з усіх дірок
і шпарин візочків,
коли бігуни
добігли свої останні кола,
але паркові тіні
ще не згустились довкола,
ти раптово відчув,
що не сам,
і впізнав її тої ж миті,
коли вона обережно виходила
зі схованки в заростях ялівцю,
хвора на водянку маленька дівчинка,
чий хирлявий скелетик
ти вже бачив того дня
в притулку Наррентурм.
Що ти тут робиш,
запитав ти, наляканий,
щоб потім рушити поруч із нею
й не мовити їй ані слова
всю дорогу додому.
A kislány
Miután eltűntek a nők
és a maguk előtt tolt
babakocsikból a legváratlanabb
réseken keresztül kilógó
gyerekvégtagok is,
miután a futók
ráadásköreiket is befejezték,
de még mindig
nem zárultak rád egészen
a park árnyai,
hirtelen megérezted,
hogy nem vagy egyedül,
és azonnal felismerted,
ahogy óvatosan kilépett
egy borókabokor takarásából
a vízfejű kislány,
akinek árva csontvázát
a Narrenturmban
épp aznap vetted szemügyre,
hát te mit keresel itt,
kérdezted riadtan,
aztán szótlanul lépdeltetek
egymás mellett
egész hazaúton.
(В разі чого, за поради і зауваження буду вдячний)",А ось вам ще й з угорської - та-дам! ,"{'girls', 'women'}","[('угорської', 0.401), ('ось', 0.3085), ('вам', 0.3012), ('ще', 0.2415), ('дам', 0.2224)]","['угорської', 'ось', 'вам', 'ще', 'дам']","['Hungarian', 'here', 'to you', 'will', 'time']"
368,398,Luba Iakymchuk,Ukrainian,"гусінь
її пальці змерзли і звузилися
з них злітає обручка
цокає асфальтом
її пальці тремтять на вітрі
як осінні листочки
коли біля ніг проповзає гусінь
танкова гусінь
біля ніг її дОчки
двоє підходять і наказують
розвернути руки як для оплесків
вдивляються в паспорт перший, другий раз
мацають її пальці мозолисті
і знаходять на них опіки, лише опіки
де мав бути мозоль на вказівному
від снайперської гвинтівки
вони називають її позивний
а може і не її —
курва-жінка
вони її роздягають
вони її розглядають
вони розлягаються
злягаються
лаються
дев’ятеро
(її улюблене число)
у синіх халатах
(її улюблений колір)
у дірявих кросівках
(її улюблене взуття)
дев’ятеро 
на одну розпатлану
не курву, а жінку
а дівчинка зігнулась калачиком
вона дивиться і не плаче
вона піднімає мамину обручку
ховає в роті, як собака кістку
та дивиться, як гусінь дожирає їхнє зелене місто
19 вересня 2014, Київуг","гусінь її пальці змерзли і звузилися з них злітає обручка цокає асфальтом її пальці тремтять на вітрі як осінні листочки коли біля ніг проповзає гусінь танкова гусінь біля ніг її дОчки двоє підходять і наказують розвернути руки як для оплесків вдивляються в паспорт перший, другий раз мацають її пальці мозолисті і знаходять на них опіки, лише опіки де мав бути мозоль на вказівному від снайперської гвинтівки вони називають її позивний а може і не її — курва-жінка вони її роздягають вони її розглядають вони розлягаються злягаються лаються дев’ятеро  дев’ятеро  на одну розпатлану не курву, а жінку а дівчинка зігнулась калачиком вона дивиться і не плаче вона піднімає мамину обручку ховає в роті, як собака кістку та дивиться, як гусінь дожирає їхнє зелене місто 19 вересня 2014, Київуг","{'goose', 'animals', 'marriage', 'family', 'sniper', 'snipers'}","[('розлягаються', 0.4508), ('роздягають', 0.3575), ('мозолисті', 0.2981), ('дівчинка', 0.2729), ('снайперської', 0.253)]","['розлягаються', 'роздягають', 'мозолисті', 'дівчинка', 'снайперської']","['spread out', 'undressed', 'callous', 'girl', 'sniper']"
372,403,Luba Iakymchuk,Ukrainian,"ні-ні, не одягну чорної сукні
чорних туфель і чорної хустки
прийду до тебе в білому —
якщо доведеться прийти —
і дев’ять білих спідниць
будуть на мені одна попід одною
я сяду перед дзеркалом
(воно буде завішене рядном)
чичиркну сірником
він обгорить і я
наслиню його
і намалюю собі чорні брови
поверх моїх чорних
і буде в мене дві пари брів
мої і твої над ними
ні-ні, не одягну чорної сукні
я одягну чорні брови
твої на себе
30 вересня 2014
#розкладання","ні-ні, не одягну чорної сукні чорних туфель і чорної хустки прийду до тебе в білому — якщо доведеться прийти — і дев’ять білих спідниць будуть на мені одна попід одною я сяду перед дзеркалом  чичиркну сірником він обгорить і я наслиню його і намалюю собі чорні брови поверх моїх чорних і буде в мене дві пари брів мої і твої над ними ні-ні, не одягну чорної сукні я одягну чорні брови твої на себе 30 вересня 2014 ","{'twerking', 'women', 'dressing up', 'femininity', 'dance'}","[('спідниць', 0.3294), ('намалюю', 0.3031), ('білих', 0.2448), ('чичиркну', 0.1632), ('туфель', 0.1417)]","['спідниць', 'намалюю', 'білих', 'чичиркну', 'туфель']","['skirts', 'I will draw', 'white', 'chirping', 'a shoe']"
383,414,Serhii Zhadan,Ukrainian,"Похилий Будда забирався в дзвіниці,
дивився на степ і молився на сонце –
великий і грішний, чистий і ниций,
забувши тенденції, відкинувши соціум. 
#zhadan #жадан","Похилий Будда забирався в дзвіниці, дивився на степ і молився на сонце – великий і грішний, чистий і ниций, забувши тенденції, відкинувши соціум.   ","{'geography', 'steppe', 'religion', 'buddha'}","[('дзвіниці', 0.4164), ('тенденції', 0.3445), ('соціум', 0.2283), ('грішний', 0.1925), ('сонце', 0.1916)]","['дзвіниці', 'тенденції', 'соціум', 'грішний', 'сонце']","['bell tower', 'trends', 'society', 'sinful', 'sun']"
391,422,Ostap Slyvynsky,Ukrainian,"(майже експромт)
Дерево, під яким ми роздяглися колись,
ще майже дітьми, і не знали, що далі робити.
Дерево, за яким бабуня впізнала місце дому
своєї юності.
Дерево, в яке я кидав ножі.
Дерево, повне осиних гнізд, яке марно вчило нас
обережності.
Дерево, яке ми грабували сонним, коли під інеєм
жовтіли ще яблука.
Дерево, на якому багато десятиліть була дівчача
гойдалка, аж доки моя сестра покалічилась,
з неї злетівши.
Дерево, у якому жив кінь.
Про що вони говоритимуть, коли
зберуться через багато років по нас,
щоб відпочити нарешті у тіні власної тіні?"," Дерево, під яким ми роздяглися колись, ще майже дітьми, і не знали, що далі робити. Дерево, за яким бабуня впізнала місце дому своєї юності. Дерево, в яке я кидав ножі. Дерево, повне осиних гнізд, яке марно вчило нас обережності. Дерево, яке ми грабували сонним, коли під інеєм жовтіли ще яблука. Дерево, на якому багато десятиліть була дівчача гойдалка, аж доки моя сестра покалічилась, з неї злетівши. Дерево, у якому жив кінь. Про що вони говоритимуть, коли зберуться через багато років по нас, щоб відпочити нарешті у тіні власної тіні?","{'tree', 'family', 'plants', 'time'}","[('роздяглися', 0.2421), ('дівчача', 0.218), ('покалічилась', 0.2086), ('говоритимуть', 0.1878), ('злетівши', 0.1856)]","['роздяглися', 'дівчача', 'покалічилась', 'говоритимуть', 'злетівши']","['undressed', 'girlish', 'crippled', 'will speak', 'taking off']"
407,439,Luba Iakymchuk,Ukrainian,"Poem is an image. Preface in FB post: Я розумію, що вибори, але у мене тут завівся ""ВІРШ ІЗ РОДЗИНКАМИ"", і я його спробувала промалювати. Якщо знайдеться художник, який би зміг намалювати краще, особливо родзинки, то радо віддам його в теплі руки. (Відкривайте, бо фейсбук здрібнює дуже)","Poem is an image. Preface in FB post: Я розумію, що вибори, але у мене тут завівся ""ВІРШ ІЗ РОДЗИНКАМИ"", і я його спробувала промалювати. Якщо знайдеться художник, який би зміг намалювати краще, особливо родзинки, то радо віддам його в теплі руки. ","{'cakes', 'fruit', 'raisins', 'apricots', 'food', 'language'}","[('спробувала', 0.3073), ('вірш', 0.2589), ('розумію', 0.1991), ('знайдеться', 0.1683), ('вибори', 0.1527)]","['спробувала', 'вірш', 'розумію', 'знайдеться', 'вибори']","['tried', 'verse', 'I understand', 'will be found', 'election']"
424,456,Aleksei Tsvetkov,Russian,"[старое]
вечером
вносим светильники в дом собираем в саду котят
бедные крошки скоро стервятники прилетят
золото кость зола в сторожевых кострах
запах острее ночные цветы источают страх
меры не знали в вине прозевали за лютней страду
скудные злаки овина робость котят в саду
прошлый в желудках иссяк а ведь тучный был урожай
но не отвадить треклятых чем им ни угрожай
пал с погремушкой на горке ангел глухонемой
всех сосчитали цветы бы тоже созвать домой
первые сумерки смрада серые перья с небес
был я любимец с песней теперь я без
рухнул в сенях светильник всю опалил седину
в воздухе свист постепенные крылья гасят луну
лаковый глобус глаза подернут дырами тьмы
бедные наши котята бедные мы", вечером вносим светильники в дом собираем в саду котят бедные крошки скоро стервятники прилетят золото кость зола в сторожевых кострах запах острее ночные цветы источают страх меры не знали в вине прозевали за лютней страду скудные злаки овина робость котят в саду прошлый в желудках иссяк а ведь тучный был урожай но не отвадить треклятых чем им ни угрожай пал с погремушкой на горке ангел глухонемой всех сосчитали цветы бы тоже созвать домой первые сумерки смрада серые перья с небес был я любимец с песней теперь я без рухнул в сенях светильник всю опалил седину в воздухе свист постепенные крылья гасят луну лаковый глобус глаза подернут дырами тьмы бедные наши котята бедные мы,"{'cats', 'kittens', 'religion', 'animals', 'death', 'angels', 'christianity'}","[('погремушкой', 0.3879), ('любимец', 0.3325), ('стервятники', 0.2784), ('острее', 0.241), ('ведь', 0.2165)]","['погремушкой', 'любимец', 'стервятники', 'острее', 'ведь']","['rattle', 'favorite', 'vultures', 'sharper', 'after all']"
425,458,Serhii Zhadan,Ukrainian,"Добре, добре, знищуй листи,
стирай номери, пали мости,
просто стирай, просто громи,
ми вдосталь мали цієї зими.
#zhadan #жадан","Добре, добре, знищуй листи, стирай номери, пали мости, просто стирай, просто громи, ми вдосталь мали цієї зими.  ","{'winter', 'rain', 'weather', 'seasons'}","[('знищуй', 0.3344), ('вдосталь', 0.3102), ('стирай', 0.2156), ('мости', 0.1909), ('зими', 0.1548)]","['знищуй', 'вдосталь', 'стирай', 'мости', 'зими']","['destroy', 'enough', 'wash', 'bridges', 'in the winter']"
430,463,Czeslaw Milos,Ukrainian,"Друзі, всім веселих свят.
А головне - сили, віри та любові. Не відступаймось і не відмовляймось
від сказаного та зробленого.
Ось вам щойноперекладений Мілош під ялинку.
Чеслав Мілош- ЗАКЛЯТТЯ
Прекрасним є людський розум і непереможним.
Ані грати, ні дріт, ні віддання книжок на перемелювання,
Ні вирок вигнання нічого не вдіють проти нього.
Він установлює в мові загальні ідеї
І веде нашу руку, саме тому пишемо з великої літери
Правда і Справедливість, а з малої брехня і кривда.
Він понад те, що є, виносить те, що бути повинно,
Ворожий розпачу, приятель надії.
Він не знає ні елліна, ні юдея, невільника ні пана,
В керування віддаючи нам спільне господарство світу.
Він із плюгавого гамору затяганих висловлювань
Рятує думки ясні та суворі.
Він говорить нам, що все є вічно новим попід сонцем,
Розкриває долоню затвердлу того, що вже було.
Чудовою і молодою є Філо-Софія
Й споріднена з нею поезія в Добра на службі.
Природа щойно вчора освячувала їхнє народження,
Звістку про що горам принесли єдиноріг і луна.
Славною буде їхня приязнь, час їхній немає кордонів.
Їхні вороги віддали себе на загибель.
Переклад Сергія #Жадан'а
#zhadan","Друзі, всім веселих свят. А головне - сили, віри та любові. Не відступаймось і не відмовляймось від сказаного та зробленого. Ось вам щойноперекладений Мілош під ялинку. Чеслав Мілош- ЗАКЛЯТТЯ Прекрасним є людський розум і непереможним. Ані грати, ні дріт, ні віддання книжок на перемелювання, Ні вирок вигнання нічого не вдіють проти нього. Він установлює в мові загальні ідеї І веде нашу руку, саме тому пишемо з великої літери Правда і Справедливість, а з малої брехня і кривда. Він понад те, що є, виносить те, що бути повинно, Ворожий розпачу, приятель надії. Він не знає ні елліна, ні юдея, невільника ні пана, В керування віддаючи нам спільне господарство світу. Він із плюгавого гамору затяганих висловлювань Рятує думки ясні та суворі. Він говорить нам, що все є вічно новим попід сонцем, Розкриває долоню затвердлу того, що вже було. Чудовою і молодою є Філо-Софія Й споріднена з нею поезія в Добра на службі. Природа щойно вчора освячувала їхнє народження, Звістку про що горам принесли єдиноріг і луна. Славною буде їхня приязнь, час їхній немає кордонів. Їхні вороги віддали себе на загибель. Переклад Сергія 'а ","{'human mind', 'psychology', 'philosophy', 'language'}","[('розкриває', 0.4209), ('справедливість', 0.4122), ('відступаймось', 0.4081), ('щойноперекладений', 0.4007), ('непереможним', 0.2954)]","['розкриває', 'справедливість', 'відступаймось', 'щойноперекладений', 'непереможним']","['reveals', 'justice', 'back off', 'just translated', 'invincible']"
433,466,Maria Galina,Russian,"ну что, поехали дальше про лисицу? Дальше будет совершенно убойной силы тонкий психологизм.
В общем, наш сюцай, будучи человеком сугубо эмпирического склада, особо заморачиваться не стал, а как пришел в хижину с горшочком и бумажкой с заклинаниями, поставил горшочек в угол комнаты и уселся ждать красавицу. Комната, я напоминаю, поскольку наш сюцай был бедным, была у него одна, то есть столовая она же спальня. То есть кровать для их с красавицей любовных утех стояла тут же. И вот он сидит, значит, за столом и пытается делать уроки, а тут дверь отворяется, и входит его возлюбленная, а поскольку она с пустыми руками никогда к нему не приходила, хорошо понимая мужскую психологию, то в этот раз она принесла апельсины, которыми они привыкли утолять жажду после любовных утех... И только-только подошла она на своих маленьких лотосовых ножках к кровати с этими, значит, апельсинами в руках, только успела улыбнуться своей жемчужной улыбкой и сказать Здравствуй, любимый! как горшочек р-раз, и ее втянул. И нет красавицы, а есть только горшочек, а в нем лисичка. И наш сюцай подскакивает к горшочку и накрывает его бумажкой с заклинанием. И уже хочет взять горшочек с бедной лисичкой, которая мечется там, внутри, и поставить на уголья, как - внимание - взгляд его падает на рассыпанные по кровати оранжевые, кругленькие апельсины. И он вспоминает как им было хорошо, и как она всегда старалась его порадовать, и как они ели вместе эти самые апельсины, и он не выдерживает, и снимает с горшочка бумажку с заклинаниями. И тогда лисичка опять в облике женщины встает из горшочка (не спрашивайте, как), поднимается, пошатываясь от слабости и шока и говорит студенту, мол, простите великодушно, я вообще-то не хотела вас погубить, вы мне просто понравились, и так приятно, что вы оказались по настоящему благородным человеком. Он заплакал и обнял ее и говорит - ну что с того, что ты лисица, будем жить дальше. Ах, говорит красавица, вам, людям, с лисицами и правда жить не рекомендуется, я тревожусь о вашем здоровье, и знаете что, раз вы показали себя таким благородным человеком, есть у меня на примете одна невеста... богатая, красивая, и все такое. И давайте я помогу вам к ней посвататься. Ну вот, дальше наш сюцай жил долго и счастливо, но не с ней.","ну что, поехали дальше про лисицу? Дальше будет совершенно убойной силы тонкий психологизм. В общем, наш сюцай, будучи человеком сугубо эмпирического склада, особо заморачиваться не стал, а как пришел в хижину с горшочком и бумажкой с заклинаниями, поставил горшочек в угол комнаты и уселся ждать красавицу. Комната, я напоминаю, поскольку наш сюцай был бедным, была у него одна, то есть столовая она же спальня. То есть кровать для их с красавицей любовных утех стояла тут же. И вот он сидит, значит, за столом и пытается делать уроки, а тут дверь отворяется, и входит его возлюбленная, а поскольку она с пустыми руками никогда к нему не приходила, хорошо понимая мужскую психологию, то в этот раз она принесла апельсины, которыми они привыкли утолять жажду после любовных утех... И только-только подошла она на своих маленьких лотосовых ножках к кровати с этими, значит, апельсинами в руках, только успела улыбнуться своей жемчужной улыбкой и сказать Здравствуй, любимый! как горшочек р-раз, и ее втянул. И нет красавицы, а есть только горшочек, а в нем лисичка. И наш сюцай подскакивает к горшочку и накрывает его бумажкой с заклинанием. И уже хочет взять горшочек с бедной лисичкой, которая мечется там, внутри, и поставить на уголья, как - внимание - взгляд его падает на рассыпанные по кровати оранжевые, кругленькие апельсины. И он вспоминает как им было хорошо, и как она всегда старалась его порадовать, и как они ели вместе эти самые апельсины, и он не выдерживает, и снимает с горшочка бумажку с заклинаниями. И тогда лисичка опять в облике женщины встает из горшочка , поднимается, пошатываясь от слабости и шока и говорит студенту, мол, простите великодушно, я вообще-то не хотела вас погубить, вы мне просто понравились, и так приятно, что вы оказались по настоящему благородным человеком. Он заплакал и обнял ее и говорит - ну что с того, что ты лисица, будем жить дальше. Ах, говорит красавица, вам, людям, с лисицами и правда жить не рекомендуется, я тревожусь о вашем здоровье, и знаете что, раз вы показали себя таким благородным человеком, есть у меня на примете одна невеста... богатая, красивая, и все такое. И давайте я помогу вам к ней посвататься. Ну вот, дальше наш сюцай жил долго и счастливо, но не с ней.","{'psychology', 'animals', 'mythology', 'fox', 'love'}","[('психологизм', 0.4325), ('психологию', 0.4264), ('вспоминает', 0.3609), ('здравствуй', 0.3383), ('возлюбленная', 0.3366)]","['психологизм', 'психологию', 'вспоминает', 'здравствуй', 'возлюбленная']","['psychology', 'psychology', 'remembers', 'Hello', 'beloved']"
